Date,Open,High,Low,Close,Adj Close,Volume
1968-04-01,,38.0,38.0,38.0,38.0,0.0
1968-04-02,38.0,37.6,37.6,37.6,37.6,0.0
1968-04-03,37.6,37.7,37.7,37.7,37.7,0.0
1968-04-04,37.7,36.7,36.7,36.7,36.7,0.0
1968-04-05,36.7,37.2,37.2,37.2,37.2,0.0
1968-04-08,37.2,37.0,37.0,37.0,37.0,0.0
1968-04-09,37.0,37.25,37.25,37.25,37.25,0.0
1968-04-10,37.25,37.6,37.6,37.6,37.6,0.0
1968-04-11,37.6,38.05,38.05,38.05,38.05,0.0
1968-04-16,38.05,38.1,38.1,38.1,38.1,0.0
1968-04-17,38.1,38.0,38.0,38.0,38.0,0.0
1968-04-18,38.0,37.6,37.6,37.6,37.6,0.0
1968-04-19,37.6,37.65,37.65,37.65,37.65,0.0
1968-04-22,37.65,38.3,38.3,38.3,38.3,0.0
1968-04-23,38.3,38.05,38.05,38.05,38.05,0.0
1968-04-24,38.05,38.35,38.35,38.35,38.35,0.0
1968-04-25,38.35,38.25,38.25,38.25,38.25,0.0
1968-04-26,38.25,38.5,38.5,38.5,38.5,0.0
1968-04-29,38.5,38.55,38.55,38.55,38.55,0.0
1968-04-30,38.55,39.1,39.1,39.1,39.1,0.0
1968-05-01,39.1,39.1,39.1,39.1,39.1,0.0
1968-05-02,39.1,39.25,39.25,39.25,39.25,0.0
1968-05-03,39.25,39.6,39.6,39.6,39.6,0.0
1968-05-06,39.6,39.7,39.7,39.7,39.7,0.0
1968-05-07,39.7,39.3,39.3,39.3,39.3,0.0
1968-05-08,39.3,39.5,39.5,39.5,39.5,0.0
1968-05-09,39.5,39.7,39.7,39.7,39.7,0.0
1968-05-10,39.7,39.8,39.8,39.8,39.8,0.0
1968-05-13,39.8,39.4,39.4,39.4,39.4,0.0
1968-05-14,39.4,39.6,39.6,39.6,39.6,0.0
1968-05-15,39.6,40.1,40.1,40.1,40.1,0.0
1968-05-16,40.1,40.85,40.85,40.85,40.85,0.0
1968-05-17,40.85,41.6,41.6,41.6,41.6,0.0
1968-05-20,41.6,42.0,42.0,42.0,42.0,0.0
1968-05-21,42.0,42.6,42.6,42.6,42.6,0.0
1968-05-22,42.6,42.2,42.2,42.2,42.2,0.0
1968-05-23,42.2,41.5,41.5,41.5,41.5,0.0
1968-05-24,41.5,41.75,41.75,41.75,41.75,0.0
1968-05-27,41.75,41.5,41.5,41.5,41.5,0.0
1968-05-28,41.5,41.6,41.6,41.6,41.6,0.0
1968-05-29,41.6,41.5,41.5,41.5,41.5,0.0
1968-05-30,41.5,41.75,41.75,41.75,41.75,0.0
1968-05-31,41.75,42.0,42.0,42.0,42.0,0.0
1968-06-04,42.0,41.2,41.2,41.2,41.2,0.0
1968-06-05,41.2,41.4,41.4,41.4,41.4,0.0
1968-06-06,41.4,41.25,41.25,41.25,41.25,0.0
1968-06-07,41.25,41.2,41.2,41.2,41.2,0.0
1968-06-10,41.2,41.35,41.35,41.35,41.35,0.0
1968-06-11,41.35,41.3,41.3,41.3,41.3,0.0
1968-06-12,41.3,42.1,42.1,42.1,42.1,0.0
1968-06-13,42.1,41.4,41.4,41.4,41.4,0.0
1968-06-14,41.4,40.2,40.2,40.2,40.2,0.0
1968-06-17,40.2,40.9,40.9,40.9,40.9,0.0
1968-06-18,40.9,40.7,40.7,40.7,40.7,0.0
1968-06-19,40.7,41.4,41.4,41.4,41.4,0.0
1968-06-20,41.4,41.05,41.05,41.05,41.05,0.0
1968-06-21,41.05,41.05,41.05,41.05,41.05,0.0
1968-06-24,41.05,41.05,41.05,41.05,41.05,0.0
1968-06-25,41.05,40.85,40.85,40.85,40.85,0.0
1968-06-26,40.85,40.95,40.95,40.95,40.95,0.0
1968-06-27,40.95,40.8,40.8,40.8,40.8,0.0
1968-06-28,40.8,40.95,40.95,40.95,40.95,0.0
1968-07-01,40.95,40.9,40.9,40.9,40.9,0.0
1968-07-02,40.9,40.85,40.85,40.85,40.85,0.0
1968-07-03,40.85,40.9,40.9,40.9,40.9,0.0
1968-07-04,40.9,41.05,41.05,41.05,41.05,0.0
1968-07-05,41.05,41.1,41.1,41.1,41.1,0.0
1968-07-08,41.1,40.95,40.95,40.95,40.95,0.0
1968-07-09,40.95,40.6,40.6,40.6,40.6,0.0
1968-07-10,40.6,40.15,40.15,40.15,40.15,0.0
1968-07-11,40.15,39.4,39.4,39.4,39.4,0.0
1968-07-12,39.4,39.1,39.1,39.1,39.1,0.0
1968-07-15,39.1,39.15,39.15,39.15,39.15,0.0
1968-07-16,39.15,38.9,38.9,38.9,38.9,0.0
1968-07-17,38.9,37.8,37.8,37.8,37.8,0.0
1968-07-18,37.8,38.0,38.0,38.0,38.0,0.0
1968-07-19,38.0,39.1,39.1,39.1,39.1,0.0
1968-07-22,39.1,38.65,38.65,38.65,38.65,0.0
