endoftrain,vol_factor,kelly_factor,post_factor
1998-12-31,2.8125,1,2.8125
1999-12-31,1.8125,1,1.8125
2000-12-31,1.6666666666666665,1,1.6666666666666665
2001-12-31,1.7307692307692308,1,1.7307692307692308
2002-12-31,1.9148936170212765,1,1.9148936170212765
2003-12-31,2.0454545454545454,1,2.0454545454545454
2004-12-31,2.5,1,2.5
2005-12-31,2.5,1,2.5
2006-12-31,2.3076923076923075,1,2.3076923076923075
2007-12-31,1.875,1,1.875
2008-12-31,2.0930232558139537,1,2.0930232558139537
2009-12-31,1.875,1,1.875
2010-12-31,1.8367346938775508,1,1.8367346938775508
2011-12-31,1.875,1,1.875
2012-12-31,2.3076923076923075,1,2.3076923076923075
2013-12-31,1.8367346938775508,1,1.8367346938775508
2014-12-31,2.195121951219512,1,2.195121951219512
2015-12-31,2.195121951219512,1,2.195121951219512
2016-12-31,2.571428571428571,1,2.571428571428571
2017-12-31,2.25,1,2.25
2018-12-31,2.25,1,2.25
2019-12-31,2.3076923076923075,1,2.3076923076923075
2020-12-31,2.0454545454545454,1,2.0454545454545454
2021-12-31,1.7647058823529411,1,1.7647058823529411
2022-12-31,1.7647058823529411,1,1.7647058823529411
2023-12-31,1.8367346938775508,1,1.8367346938775508
2024-12-31,1.6981132075471699,1,1.6981132075471699
